model,weights,kv,budget,batch,weight_bytes,kv_bytes_per_token,max_length
GPT-2,int4,int8,512 MB,16,122804736,19008,1024
GPT-2,int4,int8,512 MB,64,122804736,19008,340
GPT-2,int4,int8,1 GB,1,122804736,19008,1024
GPT-2,int4,int8,1 GB,4,122804736,19008,1024
GPT-2,int4,int8,1 GB,16,122804736,19008,1024
GPT-2,int4,int8,1 GB,64,122804736,19008,781
GPT-2,int4,int8,2 GB,1,122804736,19008,1024
GPT-2,int4,int8,2 GB,4,122804736,19008,1024
GPT-2,int4,int8,2 GB,16,122804736,19008,1024
GPT-2,int4,int8,2 GB,64,122804736,19008,1024
GPT-2,int4,int8,4 GB,1,122804736,19008,1024
GPT-2,int4,int8,4 GB,4,122804736,19008,1024
GPT-2,int4,int8,4 GB,16,122804736,19008,1024
GPT-2,int4,int8,4 GB,64,122804736,19008,1024
GPT-2,int4,int8,8 GB,1,122804736,19008,1024
GPT-2,int4,int8,8 GB,4,122804736,19008,1024
GPT-2,int4,int8,8 GB,16,122804736,19008,1024
GPT-2,int4,int8,8 GB,64,122804736,19008,1024
GPT-2,int4,int4,256 MB,1,122804736,9792,1024
GPT-2,int4,int4,256 MB,4,122804736,9792,1024
GPT-2,int4,int4,256 MB,16,122804736,9792,929
GPT-2,int4,int4,256 MB,64,122804736,9792,232
GPT-2,int4,int4,512 MB,1,122804736,9792,1024
GPT-2,int4,int4,512 MB,4,122804736,9792,1024
GPT-2,int4,int4,512 MB,16,122804736,9792,1024
GPT-2,int4,int4,512 MB,64,122804736,9792,660
GPT-2,int4,int4,1 GB,1,122804736,9792,1024
GPT-2,int4,int4,1 GB,4,122804736,9792,1024
GPT-2,int4,int4,1 GB,16,122804736,9792,1024
GPT-2,int4,int4,1 GB,64,122804736,9792,1024
GPT-2,int4,int4,2 GB,1,122804736,9792,1024
GPT-2,int4,int4,2 GB,4,122804736,9792,1024
GPT-2,int4,int4,2 GB,16,122804736,9792,1024
GPT-2,int4,int4,2 GB,64,122804736,9792,1024
GPT-2,int4,int4,4 GB,1,122804736,9792,1024
GPT-2,int4,int4,4 GB,4,122804736,9792,1024
GPT-2,int4,int4,4 GB,16,122804736,9792,1024
GPT-2,int4,int4,4 GB,64,122804736,9792,1024
GPT-2,int4,int4,8 GB,1,122804736,9792,1024
GPT-2,int4,int4,8 GB,4,122804736,9792,1024
GPT-2,int4,int4,8 GB,16,122804736,9792,1024
GPT-2,int4,int4,8 GB,64,122804736,9792,1024
SmolLM2-135M,bf16,bf16,256 MB,1,269030016,23040,0
SmolLM2-135M,bf16,bf16,256 MB,4,269030016,23040,0
SmolLM2-135M,bf16,bf16,256 MB,16,269030016,23040,0
SmolLM2-135M,bf16,bf16,256 MB,64,269030016,23040,0
SmolLM2-135M,bf16,bf16,512 MB,1,269030016,23040,8192
SmolLM2-135M,bf16,bf16,512 MB,4,269030016,23040,2906
SmolLM2-135M,bf16,bf16,512 MB,16,269030016,23040,726
SmolLM2-135M,bf16,bf16,512 MB,64,269030016,23040,181
SmolLM2-135M,bf16,bf16,1 GB,1,269030016,23040,8192
SmolLM2-135M,bf16,bf16,1 GB,4,269030016,23040,8192
