model,weights,kv,batch,length,bytes_per_step,bandwidth_gbs,step_ms,stream_tokens_per_s,total_tokens_per_s
GPT-2,int4,bf16,16,128,198302208,64,3.098,322.7,5163.8
GPT-2,int4,bf16,16,128,198302208,128,1.549,645.5,10327.7
GPT-2,int4,bf16,16,128,198302208,256,0.775,1291.0,20655.3
GPT-2,int4,bf16,16,128,198302208,512,0.387,2581.9,41310.7
GPT-2,int4,bf16,16,256,273799680,4,68.450,14.6,233.7
GPT-2,int4,bf16,16,256,273799680,8,34.225,29.2,467.5
GPT-2,int4,bf16,16,256,273799680,16,17.112,58.4,935.0
GPT-2,int4,bf16,16,256,273799680,32,8.556,116.9,1870.0
GPT-2,int4,bf16,16,256,273799680,64,4.278,233.7,3740.0
GPT-2,int4,bf16,16,256,273799680,128,2.139,467.5,7479.9
GPT-2,int4,bf16,16,256,273799680,256,1.070,935.0,14959.8
GPT-2,int4,bf16,16,256,273799680,512,0.535,1870.0,29919.7
GPT-2,int4,bf16,16,512,424794624,4,106.199,9.4,150.7
GPT-2,int4,bf16,16,512,424794624,8,53.099,18.8,301.3
GPT-2,int4,bf16,16,512,424794624,16,26.550,37.7,602.6
GPT-2,int4,bf16,16,512,424794624,32,13.275,75.3,1205.3
GPT-2,int4,bf16,16,512,424794624,64,6.637,150.7,2410.6
GPT-2,int4,bf16,16,512,424794624,128,3.319,301.3,4821.2
GPT-2,int4,bf16,16,512,424794624,256,1.659,602.6,9642.3
GPT-2,int4,bf16,16,512,424794624,512,0.830,1205.3,19284.6
GPT-2,int4,bf16,16,1024,726784512,4,181.696,5.5,88.1
GPT-2,int4,bf16,16,1024,726784512,8,90.848,11.0,176.1
GPT-2,int4,bf16,16,1024,726784512,16,45.424,22.0,352.2
GPT-2,int4,bf16,16,1024,726784512,32,22.712,44.0,704.5
GPT-2,int4,bf16,16,1024,726784512,64,11.356,88.1,1408.9
GPT-2,int4,bf16,16,1024,726784512,128,5.678,176.1,2817.9
GPT-2,int4,bf16,16,1024,726784512,256,2.839,352.2,5635.8
GPT-2,int4,bf16,16,1024,726784512,512,1.420,704.5,11271.6
GPT-2,int4,bf16,64,128,424794624,4,106.199,9.4,602.6
GPT-2,int4,bf16,64,128,424794624,8,53.099,18.8,1205.3
GPT-2,int4,bf16,64,128,424794624,16,26.550,37.7,2410.6
GPT-2,int4,bf16,64,128,424794624,32,13.275,75.3,4821.2
GPT-2,int4,bf16,64,128,424794624,64,6.637,150.7,9642.3
GPT-2,int4,bf16,64,128,424794624,128,3.319,301.3,19284.6
GPT-2,int4,bf16,64,128,424794624,256,1.659,602.6,38569.2
GPT-2,int4,bf16,64,128,424794624,512,0.830,1205.3,77138.5
GPT-2,int4,bf16,64,256,726784512,4,181.696,5.5,352.2
GPT-2,int4,bf16,64,256,726784512,8,90.848,11.0,704.5
GPT-2,int4,bf16,64,256,726784512,16,45.424,22.0,1408.9
GPT-2,int4,bf16,64,256,726784512,32,22.712,44.0,2817.9
GPT-2,int4,bf16,64,256,726784512,64,11.356,88.1,5635.8
GPT-2,int4,bf16,64,256,726784512,128,5.678,176.1,11271.6
GPT-2,int4,bf16,64,256,726784512,256,2.839,352.2,22543.1
GPT-2,int4,bf16,64,256,726784512,512,1.420,704.5,45086.3
GPT-2,int4,bf16,64,512,1330764288,4,332.691,3.0,192.4
GPT-2,int4,bf16,64,512,1330764288,8,166.346,6.0,384.7
GPT-2,int4,bf16,64,512,1330764288,16,83.173,12.0,769.5
GPT-2,int4,bf16,64,512,1330764288,32,41.586,24.0,1539.0
GPT-2,int4,bf16,64,512,1330764288,64,20.793,48.1,3077.9
GPT-2,int4,bf16,64,512,1330764288,128,10.397,96.2,6155.9
GPT-2,int4,bf16,64,512,1330764288,256,5.198,192.4,12311.7
GPT-2,int4,bf16,64,512,1330764288,512,2.599,384.7,24623.4
GPT-2,int4,bf16,64,1024,2538723840,4,634.681,1.6,100.8
GPT-2,int4,bf16,64,1024,2538723840,8,317.340,3.2,201.7
GPT-2,int4,bf16,64,1024,2538723840,16,158.670,6.3,403.4
GPT-2,int4,bf16,64,1024,2538723840,32,79.335,12.6,806.7
GPT-2,int4,bf16,64,1024,2538723840,64,39.668,25.2,1613.4
GPT-2,int4,bf16,64,1024,2538723840,128,19.834,50.4,3226.8
GPT-2,int4,bf16,64,1024,2538723840,256,9.917,100.8,6453.6
GPT-2,int4,bf16,64,1024,2538723840,512,4.958,201.7,12907.3
GPT-2,int4,int8,1,128,125237760,4,31.309,31.9,31.9
GPT-2,int4,int8,1,128,125237760,8,15.655,63.9,63.9
GPT-2,int4,int8,1,128,125237760,16,7.827,127.8,127.8
GPT-2,int4,int8,1,128,125237760,32,3.914,255.5,255.5
GPT-2,int4,int8,1,128,125237760,64,1.957,511.0,511.0
GPT-2,int4,int8,1,128,125237760,128,0.978,1022.1,1022.1
GPT-2,int4,int8,1,128,125237760,256,0.489,2044.1,2044.1
GPT-2,int4,int8,1,128,125237760,512,0.245,4088.2,4088.2
GPT-2,int4,int8,1,256,127670784,4,31.918,31.3,31.3
GPT-2,int4,int8,1,256,127670784,8,15.959,62.7,62.7
GPT-2,int4,int8,1,256,127670784,16,7.979,125.3,125.3
GPT-2,int4,int8,1,256,127670784,32,3.990,250.6,250.6
GPT-2,int4,int8,1,256,127670784,64,1.995,501.3,501.3
GPT-2,int4,int8,1,256,127670784,128,0.997,1002.6,1002.6
GPT-2,int4,int8,1,256,127670784,256,0.499,2005.2,2005.2
GPT-2,int4,int8,1,256,127670784,512,0.249,4010.3,4010.3
GPT-2,int4,int8,1,512,132536832,4,33.134,30.2,30.2
GPT-2,int4,int8,1,512,132536832,8,16.567,60.4,60.4
GPT-2,int4,int8,1,512,132536832,16,8.284,120.7,120.7
GPT-2,int4,int8,1,512,132536832,32,4.142,241.4,241.4
GPT-2,int4,int8,1,512,132536832,64,2.071,482.9,482.9
GPT-2,int4,int8,1,512,132536832,128,1.035,965.8,965.8
GPT-2,int4,int8,1,512,132536832,256,0.518,1931.5,1931.5
GPT-2,int4,int8,1,512,132536832,512,0.259,3863.1,3863.1
GPT-2,int4,int8,1,1024,142268928,4,35.567,28.1,28.1
GPT-2,int4,int8,1,1024,142268928,8,17.784,56.2,56.2
GPT-2,int4,int8,1,1024,142268928,16,8.892,112.5,112.5
GPT-2,int4,int8,1,1024,142268928,32,4.446,224.9,224.9
GPT-2,int4,int8,1,1024,142268928,64,2.223,449.9,449.9
GPT-2,int4,int8,1,1024,142268928,128,1.111,899.7,899.7
GPT-2,int4,int8,1,1024,142268928,256,0.556,1799.4,1799.4
GPT-2,int4,int8,1,1024,142268928,512,0.278,3598.8,3598.8
GPT-2,int4,int8,4,128,132536832,4,33.134,30.2,120.7
GPT-2,int4,int8,4,128,132536832,8,16.567,60.4,241.4
GPT-2,int4,int8,4,128,132536832,16,8.284,120.7,482.9
GPT-2,int4,int8,4,128,132536832,32,4.142,241.4,965.8
GPT-2,int4,int8,4,128,132536832,64,2.071,482.9,1931.5
GPT-2,int4,int8,4,128,132536832,128,1.035,965.8,3863.1
GPT-2,int4,int8,4,128,132536832,256,0.518,1931.5,7726.2
GPT-2,int4,int8,4,128,132536832,512,0.259,3863.1,15452.3
GPT-2,int4,int8,4,256,142268928,4,35.567,28.1,112.5
GPT-2,int4,int8,4,256,142268928,8,17.784,56.2,224.9
GPT-2,int4,int8,4,256,142268928,16,8.892,112.5,449.9
GPT-2,int4,int8,4,256,142268928,32,4.446,224.9,899.7
GPT-2,int4,int8,4,256,142268928,64,2.223,449.9,1799.4
GPT-2,int4,int8,4,256,142268928,128,1.111,899.7,3598.8
GPT-2,int4,int8,4,256,142268928,256,0.556,1799.4,7197.6
GPT-2,int4,int8,4,256,142268928,512,0.278,3598.8,14395.3
GPT-2,int4,int8,4,512,161733120,4,40.433,24.7,98.9
GPT-2,int4,int8,4,512,161733120,8,20.217,49.5,197.9
GPT-2,int4,int8,4,512,161733120,16,10.108,98.9,395.7
GPT-2,int4,int8,4,512,161733120,32,5.054,197.9,791.4
GPT-2,int4,int8,4,512,161733120,64,2.527,395.7,1582.9
GPT-2,int4,int8,4,512,161733120,128,1.264,791.4,3165.7
GPT-2,int4,int8,4,512,161733120,256,0.632,1582.9,6331.4
GPT-2,int4,int8,4,512,161733120,512,0.316,3165.7,12662.8
GPT-2,int4,int8,4,1024,200661504,4,50.165,19.9,79.7
GPT-2,int4,int8,4,1024,200661504,8,25.083,39.9,159.5
GPT-2,int4,int8,4,1024,200661504,16,12.541,79.7,318.9
GPT-2,int4,int8,4,1024,200661504,32,6.271,159.5,637.9
GPT-2,int4,int8,4,1024,200661504,64,3.135,318.9,1275.8
GPT-2,int4,int8,4,1024,200661504,128,1.568,637.9,2551.6
GPT-2,int4,int8,4,1024,200661504,256,0.784,1275.8,5103.1
GPT-2,int4,int8,4,1024,200661504,512,0.392,2551.6,10206.2
GPT-2,int4,int8,16,128,161733120,4,40.433,24.7,395.7
GPT-2,int4,int8,16,128,161733120,8,20.217,49.5,791.4
GPT-2,int4,int8,16,128,161733120,16,10.108,98.9,1582.9
GPT-2,int4,int8,16,128,161733120,32,5.054,197.9,3165.7
GPT-2,int4,int8,16,128,161733120,64,2.527,395.7,6331.4
GPT-2,int4,int8,16,128,161733120,128,1.264,791.4,12662.8
GPT-2,int4,int8,16,128,161733120,256,0.632,1582.9,25325.7
GPT-2,int4,int8,16,128,161733120,512,0.316,3165.7,50651.3
GPT-2,int4,int8,16,256,200661504,4,50.165,19.9,318.9
GPT-2,int4,int8,16,256,200661504,8,25.083,39.9,637.9
GPT-2,int4,int8,16,256,200661504,16,12.541,79.7,1275.8
GPT-2,int4,int8,16,256,200661504,32,6.271,159.5,2551.6
GPT-2,int4,int8,16,256,200661504,64,3.135,318.9,5103.1
GPT-2,int4,int8,16,256,200661504,128,1.568,637.9,10206.2
GPT-2,int4,int8,16,256,200661504,256,0.784,1275.8,20412.5
GPT-2,int4,int8,16,256,200661504,512,0.392,2551.6,40825.0
GPT-2,int4,int8,16,512,278518272,4,69.630,14.4,229.8
GPT-2,int4,int8,16,512,278518272,8,34.815,28.7,459.6
GPT-2,int4,int8,16,512,278518272,16,17.407,57.4,919.1
GPT-2,int4,int8,16,512,278518272,32,8.704,114.9,1838.3
GPT-2,int4,int8,16,512,278518272,64,4.352,229.8,3676.6
GPT-2,int4,int8,16,512,278518272,128,2.176,459.6,7353.2
GPT-2,int4,int8,16,512,278518272,256,1.088,919.1,14706.4
GPT-2,int4,int8,16,512,278518272,512,0.544,1838.3,29412.8
GPT-2,int4,int8,16,1024,434231808,4,108.558,9.2,147.4
GPT-2,int4,int8,16,1024,434231808,8,54.279,18.4,294.8
GPT-2,int4,int8,16,1024,434231808,16,27.139,36.8,589.5
GPT-2,int4,int8,16,1024,434231808,32,13.570,73.7,1179.1
GPT-2,int4,int8,16,1024,434231808,64,6.785,147.4,2358.2
GPT-2,int4,int8,16,1024,434231808,128,3.392,294.8,4716.4
GPT-2,int4,int8,16,1024,434231808,256,1.696,589.5,9432.7
GPT-2,int4,int8,16,1024,434231808,512,0.848,1179.1,18865.5
GPT-2,int4,int8,64,128,278518272,4,69.630,14.4,919.1
GPT-2,int4,int8,64,128,278518272,8,34.815,28.7,1838.3
GPT-2,int4,int8,64,128,278518272,16,17.407,57.4,3676.6
GPT-2,int4,int8,64,128,278518272,32,8.704,114.9,7353.2
GPT-2,int4,int8,64,128,278518272,64,4.352,229.8,14706.4
GPT-2,int4,int8,64,128,278518272,128,2.176,459.6,29412.8
GPT-2,int4,int8,64,128,278518272,256,1.088,919.1,58825.6
GPT-2,int4,int8,64,128,278518272,512,0.544,1838.3,117651.2
GPT-2,int4,int8,64,256,434231808,4,108.558,9.2,589.5
GPT-2,int4,int8,64,256,434231808,8,54.279,18.4,1179.1
GPT-2,int4,int8,64,256,434231808,16,27.139,36.8,2358.2
GPT-2,int4,int8,64,256,434231808,32,13.570,73.7,4716.4
GPT-2,int4,int8,64,256,434231808,64,6.785,147.4,9432.7
GPT-2,int4,int8,64,256,434231808,128,3.392,294.8,18865.5
GPT-2,int4,int8,64,256,434231808,256,1.696,589.5,37731.0
GPT-2,int4,int8,64,256,434231808,512,0.848,1179.1,75462.0
GPT-2,int4,int8,64,512,745658880,4,186.415,5.4,343.3
GPT-2,int4,int8,64,512,745658880,8,93.207,10.7,686.6
GPT-2,int4,int8,64,512,745658880,16,46.604,21.5,1373.3
GPT-2,int4,int8,64,512,745658880,32,23.302,42.9,2746.6
GPT-2,int4,int8,64,512,745658880,64,11.651,85.8,5493.1
GPT-2,int4,int8,64,512,745658880,128,5.825,171.7,10986.3
GPT-2,int4,int8,64,512,745658880,256,2.913,343.3,21972.5
GPT-2,int4,int8,64,512,745658880,512,1.456,686.6,43945.0
GPT-2,int4,int8,64,1024,1368513024,4,342.128,2.9,187.1
GPT-2,int4,int8,64,1024,1368513024,8,171.064,5.8,374.1
GPT-2,int4,int8,64,1024,1368513024,16,85.532,11.7,748.3
GPT-2,int4,int8,64,1024,1368513024,32,42.766,23.4,1496.5
GPT-2,int4,int8,64,1024,1368513024,64,21.383,46.8,2993.0
GPT-2,int4,int8,64,1024,1368513024,128,10.692,93.5,5986.1
GPT-2,int4,int8,64,1024,1368513024,256,5.346,187.1,11972.1
GPT-2,int4,int8,64,1024,1368513024,512,2.673,374.1,23944.2
GPT-2,int4,int4,1,128,124058112,4,31.015,32.2,32.2
GPT-2,int4,int4,1,128,124058112,8,15.507,64.5,64.5
GPT-2,int4,int4,1,128,124058112,16,7.754,129.0,129.0
GPT-2,int4,int4,1,128,124058112,32,3.877,257.9,257.9
GPT-2,int4,int4,1,128,124058112,64,1.938,515.9,515.9
GPT-2,int4,int4,1,128,124058112,128,0.969,1031.8,1031.8
GPT-2,int4,int4,1,128,124058112,256,0.485,2063.5,2063.5
GPT-2,int4,int4,1,128,124058112,512,0.242,4127.1,4127.1
GPT-2,int4,int4,1,256,125311488,4,31.328,31.9,31.9
GPT-2,int4,int4,1,256,125311488,8,15.664,63.8,63.8
GPT-2,int4,int4,1,256,125311488,16,7.832,127.7,127.7
GPT-2,int4,int4,1,256,125311488,32,3.916,255.4,255.4
GPT-2,int4,int4,1,256,125311488,64,1.958,510.7,510.7
GPT-2,int4,int4,1,256,125311488,128,0.979,1021.5,1021.5
GPT-2,int4,int4,1,256,125311488,256,0.489,2042.9,2042.9
GPT-2,int4,int4,1,256,125311488,512,0.245,4085.8,4085.8
GPT-2,int4,int4,1,512,127818240,4,31.955,31.3,31.3
GPT-2,int4,int4,1,512,127818240,8,15.977,62.6,62.6
GPT-2,int4,int4,1,512,127818240,16,7.989,125.2,125.2
GPT-2,int4,int4,1,512,127818240,32,3.994,250.4,250.4
GPT-2,int4,int4,1,512,127818240,64,1.997,500.7,500.7
GPT-2,int4,int4,1,512,127818240,128,0.999,1001.4,1001.4
GPT-2,int4,int4,1,512,127818240,256,0.499,2002.8,2002.8
GPT-2,int4,int4,1,512,127818240,512,0.250,4005.7,4005.7
GPT-2,int4,int4,1,1024,132831744,4,33.208,30.1,30.1
GPT-2,int4,int4,1,1024,132831744,8,16.604,60.2,60.2
GPT-2,int4,int4,1,1024,132831744,16,8.302,120.5,120.5
GPT-2,int4,int4,1,1024,132831744,32,4.151,240.9,240.9
GPT-2,int4,int4,1,1024,132831744,64,2.075,481.8,481.8
GPT-2,int4,int4,1,1024,132831744,128,1.038,963.6,963.6
GPT-2,int4,int4,1,1024,132831744,256,0.519,1927.3,1927.3
GPT-2,int4,int4,1,1024,132831744,512,0.259,3854.5,3854.5
GPT-2,int4,int4,4,128,127818240,4,31.955,31.3,125.2
GPT-2,int4,int4,4,128,127818240,8,15.977,62.6,250.4
GPT-2,int4,int4,4,128,127818240,16,7.989,125.2,500.7
GPT-2,int4,int4,4,128,127818240,32,3.994,250.4,1001.4
GPT-2,int4,int4,4,128,127818240,64,1.997,500.7,2002.8
GPT-2,int4,int4,4,128,127818240,128,0.999,1001.4,4005.7
GPT-2,int4,int4,4,128,127818240,256,0.499,2002.8,8011.4
GPT-2,int4,int4,4,128,127818240,512,0.250,4005.7,16022.8
GPT-2,int4,int4,4,256,132831744,4,33.208,30.1,120.5
GPT-2,int4,int4,4,256,132831744,8,16.604,60.2,240.9
GPT-2,int4,int4,4,256,132831744,16,8.302,120.5,481.8
GPT-2,int4,int4,4,256,132831744,32,4.151,240.9,963.6
GPT-2,int4,int4,4,256,132831744,64,2.075,481.8,1927.3
GPT-2,int4,int4,4,256,132831744,128,1.038,963.6,3854.5
GPT-2,int4,int4,4,256,132831744,256,0.519,1927.3,7709.0
GPT-2,int4,int4,4,256,132831744,512,0.259,3854.5,15418.0
GPT-2,int4,int4,4,512,142858752,4,35.715,28.0,112.0
GPT-2,int4,int4,4,512,142858752,8,17.857,56.0,224.0
GPT-2,int4,int4,4,512,142858752,16,8.929,112.0,448.0
GPT-2,int4,int4,4,512,142858752,32,4.464,224.0,896.0
GPT-2,int4,int4,4,512,142858752,64,2.232,448.0,1792.0
GPT-2,int4,int4,4,512,142858752,128,1.116,896.0,3584.0
GPT-2,int4,int4,4,512,142858752,256,0.558,1792.0,7167.9
GPT-2,int4,int4,4,512,142858752,512,0.279,3584.0,14335.8
GPT-2,int4,int4,4,1024,162912768,4,40.728,24.6,98.2
GPT-2,int4,int4,4,1024,162912768,8,20.364,49.1,196.4
GPT-2,int4,int4,4,1024,162912768,16,10.182,98.2,392.8
GPT-2,int4,int4,4,1024,162912768,32,5.091,196.4,785.7
GPT-2,int4,int4,4,1024,162912768,64,2.546,392.8,1571.4
GPT-2,int4,int4,4,1024,162912768,128,1.273,785.7,3142.8
GPT-2,int4,int4,4,1024,162912768,256,0.636,1571.4,6285.6
GPT-2,int4,int4,4,1024,162912768,512,0.318,3142.8,12571.1
GPT-2,int4,int4,16,128,142858752,4,35.715,28.0,448.0
GPT-2,int4,int4,16,128,142858752,8,17.857,56.0,896.0
GPT-2,int4,int4,16,128,142858752,16,8.929,112.0,1792.0
GPT-2,int4,int4,16,128,142858752,32,4.464,224.0,3584.0
GPT-2,int4,int4,16,128,142858752,64,2.232,448.0,7167.9
GPT-2,int4,int4,16,128,142858752,128,1.116,896.0,14335.8
GPT-2,int4,int4,16,128,142858752,256,0.558,1792.0,28671.7
GPT-2,int4,int4,16,128,142858752,512,0.279,3584.0,57343.4
GPT-2,int4,int4,16,256,162912768,4,40.728,24.6,392.8
GPT-2,int4,int4,16,256,162912768,8,20.364,49.1,785.7
GPT-2,int4,int4,16,256,162912768,16,10.182,98.2,1571.4
GPT-2,int4,int4,16,256,162912768,32,5.091,196.4,3142.8
GPT-2,int4,int4,16,256,162912768,64,2.546,392.8,6285.6
GPT-2,int4,int4,16,256,162912768,128,1.273,785.7,12571.1
GPT-2,int4,int4,16,256,162912768,256,0.636,1571.4,25142.3
GPT-2,int4,int4,16,256,162912768,512,0.318,3142.8,50284.6
GPT-2,int4,int4,16,512,203020800,4,50.755,19.7,315.2
GPT-2,int4,int4,16,512,203020800,8,25.378,39.4,630.5
GPT-2,int4,int4,16,512,203020800,16,12.689,78.8,1261.0
GPT-2,int4,int4,16,512,203020800,32,6.344,157.6,2521.9
GPT-2,int4,int4,16,512,203020800,64,3.172,315.2,5043.8
GPT-2,int4,int4,16,512,203020800,128,1.586,630.5,10087.6
GPT-2,int4,int4,16,512,203020800,256,0.793,1261.0,20175.3
GPT-2,int4,int4,16,512,203020800,512,0.397,2521.9,40350.5
GPT-2,int4,int4,16,1024,283236864,4,70.809,14.1,226.0
GPT-2,int4,int4,16,1024,283236864,8,35.405,28.2,451.9
GPT-2,int4,int4,16,1024,283236864,16,17.702,56.5,903.8
GPT-2,int4,int4,16,1024,283236864,32,8.851,113.0,1807.7
GPT-2,int4,int4,16,1024,283236864,64,4.426,226.0,3615.3
GPT-2,int4,int4,16,1024,283236864,128,2.213,451.9,7230.7
GPT-2,int4,int4,16,1024,283236864,256,1.106,903.8,14461.4
GPT-2,int4,int4,16,1024,283236864,512,0.553,1807.7,28922.8
GPT-2,int4,int4,64,128,203020800,4,50.755,19.7,1261.0
GPT-2,int4,int4,64,128,203020800,8,25.378,39.4,2521.9
GPT-2,int4,int4,64,128,203020800,16,12.689,78.8,5043.8
GPT-2,int4,int4,64,128,203020800,32,6.344,157.6,10087.6
GPT-2,int4,int4,64,128,203020800,64,3.172,315.2,20175.3
GPT-2,int4,int4,64,128,203020800,128,1.586,630.5,40350.5
GPT-2,int4,int4,64,128,203020800,256,0.793,1261.0,80701.1
GPT-2,int4,int4,64,128,203020800,512,0.397,2521.9,161402.2
GPT-2,int4,int4,64,256,283236864,4,70.809,14.1,903.8
GPT-2,int4,int4,64,256,283236864,8,35.405,28.2,1807.7
GPT-2,int4,int4,64,256,283236864,16,17.702,56.5,3615.3
GPT-2,int4,int4,64,256,283236864,32,8.851,113.0,7230.7
GPT-2,int4,int4,64,256,283236864,64,4.426,226.0,14461.4
GPT-2,int4,int4,64,256,283236864,128,2.213,451.9,28922.8
GPT-2,int4,int4,64,256,283236864,256,1.106,903.8,57845.6
GPT-2,int4,int4,64,256,283236864,512,0.553,1807.7,115691.2
GPT-2,int4,int4,64,512,443668992,4,110.917,9.0,577.0
GPT-2,int4,int4,64,512,443668992,8,55.459,18.0,1154.0
GPT-2,int4,int4,64,512,443668992,16,27.729,36.1,2308.0
GPT-2,int4,int4,64,512,443668992,32,13.865,72.1,4616.1
GPT-2,int4,int4,64,512,443668992,64,6.932,144.3,9232.1
GPT-2,int4,int4,64,512,443668992,128,3.466,288.5,18464.2
GPT-2,int4,int4,64,512,443668992,256,1.733,577.0,36928.4
GPT-2,int4,int4,64,512,443668992,512,0.867,1154.0,73856.9
GPT-2,int4,int4,64,1024,764533248,4,191.133,5.2,334.8
GPT-2,int4,int4,64,1024,764533248,8,95.567,10.5,669.7
GPT-2,int4,int4,64,1024,764533248,16,47.783,20.9,1339.4
GPT-2,int4,int4,64,1024,764533248,32,23.892,41.9,2678.8
GPT-2,int4,int4,64,1024,764533248,64,11.946,83.7,5357.5
GPT-2,int4,int4,64,1024,764533248,128,5.973,167.4,10715.0
GPT-2,int4,int4,64,1024,764533248,256,2.986,334.8,21430.1
GPT-2,int4,int4,64,1024,764533248,512,1.493,669.7,42860.1
SmolLM2-135M,bf16,bf16,1,128,271979136,4,67.995,14.7,14.7
SmolLM2-135M,bf16,bf16,1,128,271979136,8,33.997,29.4,29.4
SmolLM2-135M,bf16,bf16,1,128,271979136,16,16.999,58.8,58.8
SmolLM2-135M,bf16,bf16,1,128,271979136,32,8.499,117.7,117.7
SmolLM2-135M,bf16,bf16,1,128,271979136,64,4.250,235.3,235.3
SmolLM2-135M,bf16,bf16,1,128,271979136,128,2.125,470.6,470.6
SmolLM2-135M,bf16,bf16,1,128,271979136,256,1.062,941.2,941.2
SmolLM2-135M,bf16,bf16,1,128,271979136,512,0.531,1882.5,1882.5
SmolLM2-135M,bf16,bf16,1,256,274928256,4,68.732,14.5,14.5
SmolLM2-135M,bf16,bf16,1,256,274928256,8,34.366,29.1,29.1
SmolLM2-135M,bf16,bf16,1,256,274928256,16,17.183,58.2,58.2
SmolLM2-135M,bf16,bf16,1,256,274928256,32,8.592,116.4,116.4
SmolLM2-135M,bf16,bf16,1,256,274928256,64,4.296,232.8,232.8
SmolLM2-135M,bf16,bf16,1,256,274928256,128,2.148,465.6,465.6
SmolLM2-135M,bf16,bf16,1,256,274928256,256,1.074,931.2,931.2
SmolLM2-135M,bf16,bf16,1,256,274928256,512,0.537,1862.3,1862.3
SmolLM2-135M,bf16,bf16,1,512,280826496,4,70.207,14.2,14.2
SmolLM2-135M,bf16,bf16,1,512,280826496,8,35.103,28.5,28.5
SmolLM2-135M,bf16,bf16,1,512,280826496,16,17.552,57.0,57.0
SmolLM2-135M,bf16,bf16,1,512,280826496,32,8.776,113.9,113.9
SmolLM2-135M,bf16,bf16,1,512,280826496,64,4.388,227.9,227.9
SmolLM2-135M,bf16,bf16,1,512,280826496,128,2.194,455.8,455.8
SmolLM2-135M,bf16,bf16,1,512,280826496,256,1.097,911.6,911.6
SmolLM2-135M,bf16,bf16,1,512,280826496,512,0.548,1823.2,1823.2
SmolLM2-135M,bf16,bf16,1,1024,292622976,4,73.156,13.7,13.7
SmolLM2-135M,bf16,bf16,1,1024,292622976,8,36.578,27.3,27.3
SmolLM2-135M,bf16,bf16,1,1024,292622976,16,18.289,54.7,54.7
SmolLM2-135M,bf16,bf16,1,1024,292622976,32,9.144,109.4,109.4
SmolLM2-135M,bf16,bf16,1,1024,292622976,64,4.572,218.7,218.7
SmolLM2-135M,bf16,bf16,1,1024,292622976,128,2.286,437.4,437.4
SmolLM2-135M,bf16,bf16,1,1024,292622976,256,1.143,874.8,874.8
SmolLM2-135M,bf16,bf16,1,1024,292622976,512,0.572,1749.7,1749.7
SmolLM2-135M,bf16,bf16,1,2048,316215936,4,79.054,12.6,12.6
SmolLM2-135M,bf16,bf16,1,2048,316215936,8,39.527,25.3,25.3
SmolLM2-135M,bf16,bf16,1,2048,316215936,16,19.763,50.6,50.6
SmolLM2-135M,bf16,bf16,1,2048,316215936,32,9.882,101.2,101.2
SmolLM2-135M,bf16,bf16,1,2048,316215936,64,4.941,202.4,202.4
SmolLM2-135M,bf16,bf16,1,2048,316215936,128,2.470,404.8,404.8
SmolLM2-135M,bf16,bf16,1,2048,316215936,256,1.235,809.6,809.6
SmolLM2-135M,bf16,bf16,1,2048,316215936,512,0.618,1619.1,1619.1
SmolLM2-135M,bf16,bf16,1,4096,363401856,4,90.850,11.0,11.0
SmolLM2-135M,bf16,bf16,1,4096,363401856,8,45.425,22.0,22.0
SmolLM2-135M,bf16,bf16,1,4096,363401856,16,22.713,44.0,44.0
SmolLM2-135M,bf16,bf16,1,4096,363401856,32,11.356,88.1,88.1
SmolLM2-135M,bf16,bf16,1,4096,363401856,64,5.678,176.1,176.1
SmolLM2-135M,bf16,bf16,1,4096,363401856,128,2.839,352.2,352.2
SmolLM2-135M,bf16,bf16,1,4096,363401856,256,1.420,704.5,704.5
SmolLM2-135M,bf16,bf16,1,4096,363401856,512,0.710,1408.9,1408.9
SmolLM2-135M,bf16,bf16,1,8192,457773696,4,114.443,8.7,8.7
SmolLM2-135M,bf16,bf16,1,8192,457773696,8,57.222,17.5,17.5
SmolLM2-135M,bf16,bf16,1,8192,457773696,16,28.611,35.0,35.0
SmolLM2-135M,bf16,bf16,1,8192,457773696,32,14.305,69.9,69.9
SmolLM2-135M,bf16,bf16,1,8192,457773696,64,7.153,139.8,139.8
SmolLM2-135M,bf16,bf16,1,8192,457773696,128,3.576,279.6,279.6
SmolLM2-135M,bf16,bf16,1,8192,457773696,256,1.788,559.2,559.2
SmolLM2-135M,bf16,bf16,1,8192,457773696,512,0.894,1118.5,1118.5
SmolLM2-135M,bf16,bf16,4,128,280826496,4,70.207,14.2,57.0
SmolLM2-135M,bf16,bf16,4,128,280826496,8,35.103,28.5,113.9
SmolLM2-135M,bf16,bf16,4,128,280826496,16,17.552,57.0,227.9
SmolLM2-135M,bf16,bf16,4,128,280826496,32,8.776,113.9,455.8
SmolLM2-135M,bf16,bf16,4,128,280826496,64,4.388,227.9,911.6
SmolLM2-135M,bf16,bf16,4,128,280826496,128,2.194,455.8,1823.2
SmolLM2-135M,bf16,bf16,4,128,280826496,256,1.097,911.6,3646.4
SmolLM2-135M,bf16,bf16,4,128,280826496,512,0.548,1823.2,7292.8
SmolLM2-135M,bf16,bf16,4,256,292622976,4,73.156,13.7,54.7
SmolLM2-135M,bf16,bf16,4,256,292622976,8,36.578,27.3,109.4
SmolLM2-135M,bf16,bf16,4,256,292622976,16,18.289,54.7,218.7
SmolLM2-135M,bf16,bf16,4,256,292622976,32,9.144,109.4,437.4
