model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
ResNet-18,image,1,4.0,4,4 MB,0.4570,19.9276,19.9276
ResNet-18,image,1,4.0,8,4 MB,0.4570,9.9638,9.9638
ResNet-18,image,1,4.0,16,4 MB,0.4570,4.9819,4.9819
ResNet-18,image,1,4.0,32,4 MB,0.4570,2.4910,2.4910
ResNet-18,image,1,4.0,64,4 MB,0.4570,1.2455,1.2455
ResNet-18,image,1,4.0,128,4 MB,0.4570,0.6227,0.6275
ResNet-18,image,1,4.0,256,4 MB,0.4570,0.3114,0.5405
ResNet-18,image,1,4.0,512,4 MB,0.4570,0.1557,0.4969
ResNet-18,image,1,8.0,4,4 MB,0.2285,19.9276,19.9276
ResNet-18,image,1,8.0,8,4 MB,0.2285,9.9638,9.9638
ResNet-18,image,1,8.0,16,4 MB,0.2285,4.9819,4.9819
ResNet-18,image,1,8.0,32,4 MB,0.2285,2.4910,2.4910
ResNet-18,image,1,8.0,64,4 MB,0.2285,1.2455,1.2455
ResNet-18,image,1,8.0,128,4 MB,0.2285,0.6227,0.6227
ResNet-18,image,1,8.0,256,4 MB,0.2285,0.3114,0.3138
ResNet-18,image,1,8.0,512,4 MB,0.2285,0.1557,0.2702
ResNet-18,image,1,16.0,4,4 MB,0.1143,19.9276,19.9276
ResNet-18,image,1,16.0,8,4 MB,0.1143,9.9638,9.9638
ResNet-18,image,1,16.0,16,4 MB,0.1143,4.9819,4.9819
ResNet-18,image,1,16.0,32,4 MB,0.1143,2.4910,2.4910
ResNet-18,image,1,16.0,64,4 MB,0.1143,1.2455,1.2455
ResNet-18,image,1,16.0,128,4 MB,0.1143,0.6227,0.6227
ResNet-18,image,1,16.0,256,4 MB,0.1143,0.3114,0.3114
ResNet-18,image,1,16.0,512,4 MB,0.1143,0.1557,0.1569
ResNet-18,image,1,32.0,4,4 MB,0.0571,19.9276,19.9276
ResNet-18,image,1,32.0,8,4 MB,0.0571,9.9638,9.9638
ResNet-18,image,1,32.0,16,4 MB,0.0571,4.9819,4.9819
ResNet-18,image,1,32.0,32,4 MB,0.0571,2.4910,2.4910
ResNet-18,image,1,32.0,64,4 MB,0.0571,1.2455,1.2455
ResNet-18,image,1,32.0,128,4 MB,0.0571,0.6227,0.6227
ResNet-18,image,1,32.0,256,4 MB,0.0571,0.3114,0.3114
ResNet-18,image,1,32.0,512,4 MB,0.0571,0.1557,0.1557
ResNet-18,image,1,64.0,4,4 MB,0.0286,19.9276,19.9276
ResNet-18,image,1,64.0,8,4 MB,0.0286,9.9638,9.9638
ResNet-18,image,1,64.0,16,4 MB,0.0286,4.9819,4.9819
ResNet-18,image,1,64.0,32,4 MB,0.0286,2.4910,2.4910
ResNet-18,image,1,64.0,64,4 MB,0.0286,1.2455,1.2455
ResNet-18,image,1,64.0,128,4 MB,0.0286,0.6227,0.6227
ResNet-18,image,1,64.0,256,4 MB,0.0286,0.3114,0.3114
ResNet-18,image,1,64.0,512,4 MB,0.0286,0.1557,0.1557
ResNet-18,image,8,0.5,4,256 KB,29.2504,139.4477,139.4477
ResNet-18,image,8,0.5,8,256 KB,29.2504,69.7238,69.7238
ResNet-18,image,8,0.5,16,256 KB,29.2504,34.8619,39.6987
ResNet-18,image,8,0.5,32,256 KB,29.2504,17.4310,34.3578
ResNet-18,image,8,0.5,64,256 KB,29.2504,8.7155,31.6874
ResNet-18,image,8,0.5,128,256 KB,29.2504,4.3577,30.3522
ResNet-18,image,8,0.5,256,256 KB,29.2504,2.1789,29.6886
ResNet-18,image,8,0.5,512,256 KB,29.2504,1.0894,29.3606
ResNet-18,image,8,1.0,4,256 KB,14.6252,139.4477,139.4477
ResNet-18,image,8,1.0,8,256 KB,14.6252,69.7238,69.7238
ResNet-18,image,8,1.0,16,256 KB,14.6252,34.8619,34.8619
ResNet-18,image,8,1.0,32,256 KB,14.6252,17.4310,19.8493
ResNet-18,image,8,1.0,64,256 KB,14.6252,8.7155,17.1789
ResNet-18,image,8,1.0,128,256 KB,14.6252,4.3577,15.8437
ResNet-18,image,8,1.0,256,256 KB,14.6252,2.1789,15.1761
ResNet-18,image,8,1.0,512,256 KB,14.6252,1.0894,14.8443
ResNet-18,image,8,2.0,4,256 KB,7.3126,139.4477,139.4477
ResNet-18,image,8,2.0,8,256 KB,7.3126,69.7238,69.7238
ResNet-18,image,8,2.0,16,256 KB,7.3126,34.8619,34.8619
ResNet-18,image,8,2.0,32,256 KB,7.3126,17.4310,17.4310
ResNet-18,image,8,2.0,64,256 KB,7.3126,8.7155,9.9247
ResNet-18,image,8,2.0,128,256 KB,7.3126,4.3577,8.5895
ResNet-18,image,8,2.0,256,256 KB,7.3126,2.1789,7.9219
ResNet-18,image,8,2.0,512,256 KB,7.3126,1.0894,7.5880
ResNet-18,image,8,4.0,4,256 KB,3.6563,139.4477,139.4477
ResNet-18,image,8,4.0,8,256 KB,3.6563,69.7238,69.7238
ResNet-18,image,8,4.0,16,256 KB,3.6563,34.8619,34.8619
ResNet-18,image,8,4.0,32,256 KB,3.6563,17.4310,17.4310
ResNet-18,image,8,4.0,64,256 KB,3.6563,8.7155,8.7155
ResNet-18,image,8,4.0,128,256 KB,3.6563,4.3577,4.9623
ResNet-18,image,8,4.0,256,256 KB,3.6563,2.1789,4.2947
ResNet-18,image,8,4.0,512,256 KB,3.6563,1.0894,3.9609
ResNet-18,image,8,8.0,4,256 KB,1.8282,139.4477,139.4477
ResNet-18,image,8,8.0,8,256 KB,1.8282,69.7238,69.7238
ResNet-18,image,8,8.0,16,256 KB,1.8282,34.8619,34.8619
ResNet-18,image,8,8.0,32,256 KB,1.8282,17.4310,17.4310
ResNet-18,image,8,8.0,64,256 KB,1.8282,8.7155,8.7155
ResNet-18,image,8,8.0,128,256 KB,1.8282,4.3577,4.3577
ResNet-18,image,8,8.0,256,256 KB,1.8282,2.1789,2.4812
ResNet-18,image,8,8.0,512,256 KB,1.8282,1.0894,2.1474
ResNet-18,image,8,16.0,4,256 KB,0.9141,139.4477,139.4477
ResNet-18,image,8,16.0,8,256 KB,0.9141,69.7238,69.7238
ResNet-18,image,8,16.0,16,256 KB,0.9141,34.8619,34.8619
ResNet-18,image,8,16.0,32,256 KB,0.9141,17.4310,17.4310
ResNet-18,image,8,16.0,64,256 KB,0.9141,8.7155,8.7155
ResNet-18,image,8,16.0,128,256 KB,0.9141,4.3577,4.3577
ResNet-18,image,8,16.0,256,256 KB,0.9141,2.1789,2.1789
ResNet-18,image,8,16.0,512,256 KB,0.9141,1.0894,1.2406
ResNet-18,image,8,32.0,4,256 KB,0.4570,139.4477,139.4477
ResNet-18,image,8,32.0,8,256 KB,0.4570,69.7238,69.7238
ResNet-18,image,8,32.0,16,256 KB,0.4570,34.8619,34.8619
ResNet-18,image,8,32.0,32,256 KB,0.4570,17.4310,17.4310
ResNet-18,image,8,32.0,64,256 KB,0.4570,8.7155,8.7155
ResNet-18,image,8,32.0,128,256 KB,0.4570,4.3577,4.3577
ResNet-18,image,8,32.0,256,256 KB,0.4570,2.1789,2.1789
ResNet-18,image,8,32.0,512,256 KB,0.4570,1.0894,1.0894
ResNet-18,image,8,64.0,4,256 KB,0.2285,139.4477,139.4477
ResNet-18,image,8,64.0,8,256 KB,0.2285,69.7238,69.7238
ResNet-18,image,8,64.0,16,256 KB,0.2285,34.8619,34.8619
ResNet-18,image,8,64.0,32,256 KB,0.2285,17.4310,17.4310
ResNet-18,image,8,64.0,64,256 KB,0.2285,8.7155,8.7155
ResNet-18,image,8,64.0,128,256 KB,0.2285,4.3577,4.3577
ResNet-18,image,8,64.0,256,256 KB,0.2285,2.1789,2.1789
ResNet-18,image,8,64.0,512,256 KB,0.2285,1.0894,1.0894
ResNet-18,image,8,0.5,4,1 MB,29.2504,124.3493,124.3493
ResNet-18,image,8,0.5,8,1 MB,29.2504,62.1746,62.1746
ResNet-18,image,8,0.5,16,1 MB,29.2504,31.0873,39.6981
ResNet-18,image,8,0.5,32,1 MB,29.2504,15.5437,34.3576
ResNet-18,image,8,0.5,64,1 MB,29.2504,7.7718,31.6873
ResNet-18,image,8,0.5,128,1 MB,29.2504,3.8859,30.3521
ResNet-18,image,8,0.5,256,1 MB,29.2504,1.9430,29.6886
ResNet-18,image,8,0.5,512,1 MB,29.2504,0.9715,29.3606
ResNet-18,image,8,1.0,4,1 MB,14.6252,124.3493,124.3493
ResNet-18,image,8,1.0,8,1 MB,14.6252,62.1746,62.1746
ResNet-18,image,8,1.0,16,1 MB,14.6252,31.0873,31.0873
ResNet-18,image,8,1.0,32,1 MB,14.6252,15.5437,19.8491
ResNet-18,image,8,1.0,64,1 MB,14.6252,7.7718,17.1788
ResNet-18,image,8,1.0,128,1 MB,14.6252,3.8859,15.8436
ResNet-18,image,8,1.0,256,1 MB,14.6252,1.9430,15.1761
ResNet-18,image,8,1.0,512,1 MB,14.6252,0.9715,14.8443
ResNet-18,image,8,2.0,4,1 MB,7.3126,124.3493,124.3493
ResNet-18,image,8,2.0,8,1 MB,7.3126,62.1746,62.1746
ResNet-18,image,8,2.0,16,1 MB,7.3126,31.0873,31.0873
ResNet-18,image,8,2.0,32,1 MB,7.3126,15.5437,15.5437
ResNet-18,image,8,2.0,64,1 MB,7.3126,7.7718,9.9245
ResNet-18,image,8,2.0,128,1 MB,7.3126,3.8859,8.5894
ResNet-18,image,8,2.0,256,1 MB,7.3126,1.9430,7.9218
ResNet-18,image,8,2.0,512,1 MB,7.3126,0.9715,7.5880
ResNet-18,image,8,4.0,4,1 MB,3.6563,124.3493,124.3493
ResNet-18,image,8,4.0,8,1 MB,3.6563,62.1746,62.1746
ResNet-18,image,8,4.0,16,1 MB,3.6563,31.0873,31.0873
ResNet-18,image,8,4.0,32,1 MB,3.6563,15.5437,15.5437
ResNet-18,image,8,4.0,64,1 MB,3.6563,7.7718,7.7718
ResNet-18,image,8,4.0,128,1 MB,3.6563,3.8859,4.9623
ResNet-18,image,8,4.0,256,1 MB,3.6563,1.9430,4.2947
ResNet-18,image,8,4.0,512,1 MB,3.6563,0.9715,3.9609
ResNet-18,image,8,8.0,4,1 MB,1.8282,124.3493,124.3493
ResNet-18,image,8,8.0,8,1 MB,1.8282,62.1746,62.1746
ResNet-18,image,8,8.0,16,1 MB,1.8282,31.0873,31.0873
ResNet-18,image,8,8.0,32,1 MB,1.8282,15.5437,15.5437
ResNet-18,image,8,8.0,64,1 MB,1.8282,7.7718,7.7718
ResNet-18,image,8,8.0,128,1 MB,1.8282,3.8859,3.8859
ResNet-18,image,8,8.0,256,1 MB,1.8282,1.9430,2.4811
ResNet-18,image,8,8.0,512,1 MB,1.8282,0.9715,2.1473
ResNet-18,image,8,16.0,4,1 MB,0.9141,124.3493,124.3493
ResNet-18,image,8,16.0,8,1 MB,0.9141,62.1746,62.1746
ResNet-18,image,8,16.0,16,1 MB,0.9141,31.0873,31.0873
ResNet-18,image,8,16.0,32,1 MB,0.9141,15.5437,15.5437
ResNet-18,image,8,16.0,64,1 MB,0.9141,7.7718,7.7718
ResNet-18,image,8,16.0,128,1 MB,0.9141,3.8859,3.8859
ResNet-18,image,8,16.0,256,1 MB,0.9141,1.9430,1.9430
ResNet-18,image,8,16.0,512,1 MB,0.9141,0.9715,1.2406
ResNet-18,image,8,32.0,4,1 MB,0.4570,124.3493,124.3493
ResNet-18,image,8,32.0,8,1 MB,0.4570,62.1746,62.1746
ResNet-18,image,8,32.0,16,1 MB,0.4570,31.0873,31.0873
ResNet-18,image,8,32.0,32,1 MB,0.4570,15.5437,15.5437
ResNet-18,image,8,32.0,64,1 MB,0.4570,7.7718,7.7718
ResNet-18,image,8,32.0,128,1 MB,0.4570,3.8859,3.8859
ResNet-18,image,8,32.0,256,1 MB,0.4570,1.9430,1.9430
ResNet-18,image,8,32.0,512,1 MB,0.4570,0.9715,0.9715
ResNet-18,image,8,64.0,4,1 MB,0.2285,124.3493,124.3493
ResNet-18,image,8,64.0,8,1 MB,0.2285,62.1746,62.1746
ResNet-18,image,8,64.0,16,1 MB,0.2285,31.0873,31.0873
ResNet-18,image,8,64.0,32,1 MB,0.2285,15.5437,15.5437
ResNet-18,image,8,64.0,64,1 MB,0.2285,7.7718,7.7718
ResNet-18,image,8,64.0,128,1 MB,0.2285,3.8859,3.8859
ResNet-18,image,8,64.0,256,1 MB,0.2285,1.9430,1.9430
ResNet-18,image,8,64.0,512,1 MB,0.2285,0.9715,0.9715
ResNet-18,image,8,0.5,4,4 MB,29.2504,120.6721,120.6721
ResNet-18,image,8,0.5,8,4 MB,29.2504,60.3361,60.3361
ResNet-18,image,8,0.5,16,4 MB,29.2504,30.1680,39.6976
ResNet-18,image,8,0.5,32,4 MB,29.2504,15.0840,34.3573
ResNet-18,image,8,0.5,64,4 MB,29.2504,7.5420,31.6871
ResNet-18,image,8,0.5,128,4 MB,29.2504,3.7710,30.3521
ResNet-18,image,8,0.5,256,4 MB,29.2504,1.8855,29.6886
ResNet-18,image,8,0.5,512,4 MB,29.2504,0.9428,29.3606
ResNet-18,image,8,1.0,4,4 MB,14.6252,120.6721,120.6721
ResNet-18,image,8,1.0,8,4 MB,14.6252,60.3361,60.3361
ResNet-18,image,8,1.0,16,4 MB,14.6252,30.1680,30.1680
ResNet-18,image,8,1.0,32,4 MB,14.6252,15.0840,19.8488
ResNet-18,image,8,1.0,64,4 MB,14.6252,7.5420,17.1787
ResNet-18,image,8,1.0,128,4 MB,14.6252,3.7710,15.8436
ResNet-18,image,8,1.0,256,4 MB,14.6252,1.8855,15.1760
ResNet-18,image,8,1.0,512,4 MB,14.6252,0.9428,14.8443
ResNet-18,image,8,2.0,4,4 MB,7.3126,120.6721,120.6721
ResNet-18,image,8,2.0,8,4 MB,7.3126,60.3361,60.3361
ResNet-18,image,8,2.0,16,4 MB,7.3126,30.1680,30.1680
ResNet-18,image,8,2.0,32,4 MB,7.3126,15.0840,15.0840
ResNet-18,image,8,2.0,64,4 MB,7.3126,7.5420,9.9244
ResNet-18,image,8,2.0,128,4 MB,7.3126,3.7710,8.5893
ResNet-18,image,8,2.0,256,4 MB,7.3126,1.8855,7.9218
ResNet-18,image,8,2.0,512,4 MB,7.3126,0.9428,7.5880
ResNet-18,image,8,4.0,4,4 MB,3.6563,120.6721,120.6721
ResNet-18,image,8,4.0,8,4 MB,3.6563,60.3361,60.3361
ResNet-18,image,8,4.0,16,4 MB,3.6563,30.1680,30.1680
ResNet-18,image,8,4.0,32,4 MB,3.6563,15.0840,15.0840
ResNet-18,image,8,4.0,64,4 MB,3.6563,7.5420,7.5420
ResNet-18,image,8,4.0,128,4 MB,3.6563,3.7710,4.9622
ResNet-18,image,8,4.0,256,4 MB,3.6563,1.8855,4.2947
ResNet-18,image,8,4.0,512,4 MB,3.6563,0.9428,3.9609
ResNet-18,image,8,8.0,4,4 MB,1.8282,120.6721,120.6721
ResNet-18,image,8,8.0,8,4 MB,1.8282,60.3361,60.3361
ResNet-18,image,8,8.0,16,4 MB,1.8282,30.1680,30.1680
ResNet-18,image,8,8.0,32,4 MB,1.8282,15.0840,15.0840
ResNet-18,image,8,8.0,64,4 MB,1.8282,7.5420,7.5420
ResNet-18,image,8,8.0,128,4 MB,1.8282,3.7710,3.7710
ResNet-18,image,8,8.0,256,4 MB,1.8282,1.8855,2.4811
ResNet-18,image,8,8.0,512,4 MB,1.8282,0.9428,2.1473
ResNet-18,image,8,16.0,4,4 MB,0.9141,120.6721,120.6721
ResNet-18,image,8,16.0,8,4 MB,0.9141,60.3361,60.3361
ResNet-18,image,8,16.0,16,4 MB,0.9141,30.1680,30.1680
ResNet-18,image,8,16.0,32,4 MB,0.9141,15.0840,15.0840
ResNet-18,image,8,16.0,64,4 MB,0.9141,7.5420,7.5420
ResNet-18,image,8,16.0,128,4 MB,0.9141,3.7710,3.7710
ResNet-18,image,8,16.0,256,4 MB,0.9141,1.8855,1.8855
ResNet-18,image,8,16.0,512,4 MB,0.9141,0.9428,1.2406
ResNet-18,image,8,32.0,4,4 MB,0.4570,120.6721,120.6721
ResNet-18,image,8,32.0,8,4 MB,0.4570,60.3361,60.3361
ResNet-18,image,8,32.0,16,4 MB,0.4570,30.1680,30.1680
ResNet-18,image,8,32.0,32,4 MB,0.4570,15.0840,15.0840
ResNet-18,image,8,32.0,64,4 MB,0.4570,7.5420,7.5420
ResNet-18,image,8,32.0,128,4 MB,0.4570,3.7710,3.7710
ResNet-18,image,8,32.0,256,4 MB,0.4570,1.8855,1.8855
ResNet-18,image,8,32.0,512,4 MB,0.4570,0.9428,0.9428
ResNet-18,image,8,64.0,4,4 MB,0.2285,120.6721,120.6721
ResNet-18,image,8,64.0,8,4 MB,0.2285,60.3361,60.3361
ResNet-18,image,8,64.0,16,4 MB,0.2285,30.1680,30.1680
ResNet-18,image,8,64.0,32,4 MB,0.2285,15.0840,15.0840
ResNet-18,image,8,64.0,64,4 MB,0.2285,7.5420,7.5420
ResNet-18,image,8,64.0,128,4 MB,0.2285,3.7710,3.7710
ResNet-18,image,8,64.0,256,4 MB,0.2285,1.8855,1.8855
ResNet-18,image,8,64.0,512,4 MB,0.2285,0.9428,0.9428
ResNet-34,image,1,0.5,4,256 KB,7.3683,36.3677,36.3677
ResNet-34,image,1,0.5,8,256 KB,7.3683,18.1838,18.1838
ResNet-34,image,1,0.5,16,256 KB,7.3683,9.0919,9.3489
ResNet-34,image,1,0.5,32,256 KB,7.3683,4.5460,8.3377
ResNet-34,image,1,0.5,64,256 KB,7.3683,2.2730,7.8321
ResNet-34,image,1,0.5,128,256 KB,7.3683,1.1365,7.5793
ResNet-34,image,1,0.5,256,256 KB,7.3683,0.5682,7.4529
ResNet-34,image,1,0.5,512,256 KB,7.3683,0.2841,7.3903
ResNet-34,image,1,1.0,4,256 KB,3.6841,36.3677,36.3677
ResNet-34,image,1,1.0,8,256 KB,3.6841,18.1838,18.1838
ResNet-34,image,1,1.0,16,256 KB,3.6841,9.0919,9.0919
ResNet-34,image,1,1.0,32,256 KB,3.6841,4.5460,4.6744
ResNet-34,image,1,1.0,64,256 KB,3.6841,2.2730,4.1688
ResNet-34,image,1,1.0,128,256 KB,3.6841,1.1365,3.9160
ResNet-34,image,1,1.0,256,256 KB,3.6841,0.5682,3.7896
ResNet-34,image,1,1.0,512,256 KB,3.6841,0.2841,3.7264
ResNet-34,image,1,2.0,4,256 KB,1.8421,36.3677,36.3677
ResNet-34,image,1,2.0,8,256 KB,1.8421,18.1838,18.1838
ResNet-34,image,1,2.0,16,256 KB,1.8421,9.0919,9.0919
ResNet-34,image,1,2.0,32,256 KB,1.8421,4.5460,4.5460
ResNet-34,image,1,2.0,64,256 KB,1.8421,2.2730,2.3372
ResNet-34,image,1,2.0,128,256 KB,1.8421,1.1365,2.0844
ResNet-34,image,1,2.0,256,256 KB,1.8421,0.5682,1.9580
ResNet-34,image,1,2.0,512,256 KB,1.8421,0.2841,1.8948
ResNet-34,image,1,4.0,4,256 KB,0.9210,36.3677,36.3677
ResNet-34,image,1,4.0,8,256 KB,0.9210,18.1838,18.1838
ResNet-34,image,1,4.0,16,256 KB,0.9210,9.0919,9.0919
ResNet-34,image,1,4.0,32,256 KB,0.9210,4.5460,4.5460
ResNet-34,image,1,4.0,64,256 KB,0.9210,2.2730,2.2730
ResNet-34,image,1,4.0,128,256 KB,0.9210,1.1365,1.1686
ResNet-34,image,1,4.0,256,256 KB,0.9210,0.5682,1.0422
ResNet-34,image,1,4.0,512,256 KB,0.9210,0.2841,0.9790
ResNet-34,image,1,8.0,4,256 KB,0.4605,36.3677,36.3677
ResNet-34,image,1,8.0,8,256 KB,0.4605,18.1838,18.1838
ResNet-34,image,1,8.0,16,256 KB,0.4605,9.0919,9.0919
ResNet-34,image,1,8.0,32,256 KB,0.4605,4.5460,4.5460
ResNet-34,image,1,8.0,64,256 KB,0.4605,2.2730,2.2730
ResNet-34,image,1,8.0,128,256 KB,0.4605,1.1365,1.1365
ResNet-34,image,1,8.0,256,256 KB,0.4605,0.5682,0.5843
ResNet-34,image,1,8.0,512,256 KB,0.4605,0.2841,0.5211
ResNet-34,image,1,16.0,4,256 KB,0.2303,36.3677,36.3677
ResNet-34,image,1,16.0,8,256 KB,0.2303,18.1838,18.1838
ResNet-34,image,1,16.0,16,256 KB,0.2303,9.0919,9.0919
ResNet-34,image,1,16.0,32,256 KB,0.2303,4.5460,4.5460
ResNet-34,image,1,16.0,64,256 KB,0.2303,2.2730,2.2730
ResNet-34,image,1,16.0,128,256 KB,0.2303,1.1365,1.1365
ResNet-34,image,1,16.0,256,256 KB,0.2303,0.5682,0.5682
ResNet-34,image,1,16.0,512,256 KB,0.2303,0.2841,0.2922
ResNet-34,image,1,32.0,4,256 KB,0.1151,36.3677,36.3677
ResNet-34,image,1,32.0,8,256 KB,0.1151,18.1838,18.1838
ResNet-34,image,1,32.0,16,256 KB,0.1151,9.0919,9.0919
ResNet-34,image,1,32.0,32,256 KB,0.1151,4.5460,4.5460
ResNet-34,image,1,32.0,64,256 KB,0.1151,2.2730,2.2730
ResNet-34,image,1,32.0,128,256 KB,0.1151,1.1365,1.1365
ResNet-34,image,1,32.0,256,256 KB,0.1151,0.5682,0.5682
ResNet-34,image,1,32.0,512,256 KB,0.1151,0.2841,0.2841
ResNet-34,image,1,64.0,4,256 KB,0.0576,36.3677,36.3677
ResNet-34,image,1,64.0,8,256 KB,0.0576,18.1838,18.1838
ResNet-34,image,1,64.0,16,256 KB,0.0576,9.0919,9.0919
ResNet-34,image,1,64.0,32,256 KB,0.0576,4.5460,4.5460
ResNet-34,image,1,64.0,64,256 KB,0.0576,2.2730,2.2730
ResNet-34,image,1,64.0,128,256 KB,0.0576,1.1365,1.1365
ResNet-34,image,1,64.0,256,256 KB,0.0576,0.5682,0.5682
ResNet-34,image,1,64.0,512,256 KB,0.0576,0.2841,0.2841
ResNet-34,image,1,0.5,4,1 MB,7.3683,34.6608,34.6608
ResNet-34,image,1,0.5,8,1 MB,7.3683,17.3304,17.3304
ResNet-34,image,1,0.5,16,1 MB,7.3683,8.6652,9.3488
ResNet-34,image,1,0.5,32,1 MB,7.3683,4.3326,8.3377
ResNet-34,image,1,0.5,64,1 MB,7.3683,2.1663,7.8321
ResNet-34,image,1,0.5,128,1 MB,7.3683,1.0832,7.5793
ResNet-34,image,1,0.5,256,1 MB,7.3683,0.5416,7.4529
ResNet-34,image,1,0.5,512,1 MB,7.3683,0.2708,7.3903
ResNet-34,image,1,1.0,4,1 MB,3.6841,34.6608,34.6608
ResNet-34,image,1,1.0,8,1 MB,3.6841,17.3304,17.3304
ResNet-34,image,1,1.0,16,1 MB,3.6841,8.6652,8.6652
ResNet-34,image,1,1.0,32,1 MB,3.6841,4.3326,4.6744
ResNet-34,image,1,1.0,64,1 MB,3.6841,2.1663,4.1688
ResNet-34,image,1,1.0,128,1 MB,3.6841,1.0832,3.9160
ResNet-34,image,1,1.0,256,1 MB,3.6841,0.5416,3.7896
ResNet-34,image,1,1.0,512,1 MB,3.6841,0.2708,3.7264
ResNet-34,image,1,2.0,4,1 MB,1.8421,34.6608,34.6608
ResNet-34,image,1,2.0,8,1 MB,1.8421,17.3304,17.3304
ResNet-34,image,1,2.0,16,1 MB,1.8421,8.6652,8.6652
ResNet-34,image,1,2.0,32,1 MB,1.8421,4.3326,4.3326
ResNet-34,image,1,2.0,64,1 MB,1.8421,2.1663,2.3372
ResNet-34,image,1,2.0,128,1 MB,1.8421,1.0832,2.0844
ResNet-34,image,1,2.0,256,1 MB,1.8421,0.5416,1.9580
ResNet-34,image,1,2.0,512,1 MB,1.8421,0.2708,1.8948
ResNet-34,image,1,4.0,4,1 MB,0.9210,34.6608,34.6608
ResNet-34,image,1,4.0,8,1 MB,0.9210,17.3304,17.3304
ResNet-34,image,1,4.0,16,1 MB,0.9210,8.6652,8.6652
ResNet-34,image,1,4.0,32,1 MB,0.9210,4.3326,4.3326
ResNet-34,image,1,4.0,64,1 MB,0.9210,2.1663,2.1663
ResNet-34,image,1,4.0,128,1 MB,0.9210,1.0832,1.1686
ResNet-34,image,1,4.0,256,1 MB,0.9210,0.5416,1.0422
ResNet-34,image,1,4.0,512,1 MB,0.9210,0.2708,0.9790
ResNet-34,image,1,8.0,4,1 MB,0.4605,34.6608,34.6608
ResNet-34,image,1,8.0,8,1 MB,0.4605,17.3304,17.3304
ResNet-34,image,1,8.0,16,1 MB,0.4605,8.6652,8.6652
ResNet-34,image,1,8.0,32,1 MB,0.4605,4.3326,4.3326
ResNet-34,image,1,8.0,64,1 MB,0.4605,2.1663,2.1663
ResNet-34,image,1,8.0,128,1 MB,0.4605,1.0832,1.0832
ResNet-34,image,1,8.0,256,1 MB,0.4605,0.5416,0.5843
ResNet-34,image,1,8.0,512,1 MB,0.4605,0.2708,0.5211
ResNet-34,image,1,16.0,4,1 MB,0.2303,34.6608,34.6608
ResNet-34,image,1,16.0,8,1 MB,0.2303,17.3304,17.3304
ResNet-34,image,1,16.0,16,1 MB,0.2303,8.6652,8.6652
ResNet-34,image,1,16.0,32,1 MB,0.2303,4.3326,4.3326
ResNet-34,image,1,16.0,64,1 MB,0.2303,2.1663,2.1663
ResNet-34,image,1,16.0,128,1 MB,0.2303,1.0832,1.0832
ResNet-34,image,1,16.0,256,1 MB,0.2303,0.5416,0.5416
ResNet-34,image,1,16.0,512,1 MB,0.2303,0.2708,0.2922
ResNet-34,image,1,32.0,4,1 MB,0.1151,34.6608,34.6608
ResNet-34,image,1,32.0,8,1 MB,0.1151,17.3304,17.3304
ResNet-34,image,1,32.0,16,1 MB,0.1151,8.6652,8.6652
ResNet-34,image,1,32.0,32,1 MB,0.1151,4.3326,4.3326
ResNet-34,image,1,32.0,64,1 MB,0.1151,2.1663,2.1663
ResNet-34,image,1,32.0,128,1 MB,0.1151,1.0832,1.0832
ResNet-34,image,1,32.0,256,1 MB,0.1151,0.5416,0.5416
ResNet-34,image,1,32.0,512,1 MB,0.1151,0.2708,0.2708
ResNet-34,image,1,64.0,4,1 MB,0.0576,34.6608,34.6608
ResNet-34,image,1,64.0,8,1 MB,0.0576,17.3304,17.3304
ResNet-34,image,1,64.0,16,1 MB,0.0576,8.6652,8.6652
ResNet-34,image,1,64.0,32,1 MB,0.0576,4.3326,4.3326
ResNet-34,image,1,64.0,64,1 MB,0.0576,2.1663,2.1663
ResNet-34,image,1,64.0,128,1 MB,0.0576,1.0832,1.0832
ResNet-34,image,1,64.0,256,1 MB,0.0576,0.5416,0.5416
ResNet-34,image,1,64.0,512,1 MB,0.0576,0.2708,0.2708
ResNet-34,image,1,0.5,4,4 MB,7.3683,33.8400,33.8400
ResNet-34,image,1,0.5,8,4 MB,7.3683,16.9200,16.9200
ResNet-34,image,1,0.5,16,4 MB,7.3683,8.4600,9.3487
ResNet-34,image,1,0.5,32,4 MB,7.3683,4.2300,8.3376
ResNet-34,image,1,0.5,64,4 MB,7.3683,2.1150,7.8321
ResNet-34,image,1,0.5,128,4 MB,7.3683,1.0575,7.5793
ResNet-34,image,1,0.5,256,4 MB,7.3683,0.5287,7.4529
ResNet-34,image,1,0.5,512,4 MB,7.3683,0.2644,7.3903
ResNet-34,image,1,1.0,4,4 MB,3.6841,33.8400,33.8400
ResNet-34,image,1,1.0,8,4 MB,3.6841,16.9200,16.9200
ResNet-34,image,1,1.0,16,4 MB,3.6841,8.4600,8.4600
ResNet-34,image,1,1.0,32,4 MB,3.6841,4.2300,4.6744
ResNet-34,image,1,1.0,64,4 MB,3.6841,2.1150,4.1688
ResNet-34,image,1,1.0,128,4 MB,3.6841,1.0575,3.9160
ResNet-34,image,1,1.0,256,4 MB,3.6841,0.5287,3.7896
ResNet-34,image,1,1.0,512,4 MB,3.6841,0.2644,3.7264
ResNet-34,image,1,2.0,4,4 MB,1.8421,33.8400,33.8400
