model,phase,batch,peak_tmacs,bandwidth_gbs,sram,compute_ms,memory_ms,latency_ms
GPT-2,prefill,1,16.0,32,4 MB,4.2861,32.5105,32.5105
GPT-2,prefill,1,16.0,64,4 MB,4.2861,16.2552,16.2552
GPT-2,prefill,1,16.0,128,4 MB,4.2861,8.1276,8.1352
GPT-2,prefill,1,16.0,256,4 MB,4.2861,4.0638,6.0454
GPT-2,prefill,1,16.0,512,4 MB,4.2861,2.0319,5.0006
GPT-2,prefill,1,32.0,4,4 MB,2.1431,260.0840,260.0840
GPT-2,prefill,1,32.0,8,4 MB,2.1431,130.0420,130.0420
GPT-2,prefill,1,32.0,16,4 MB,2.1431,65.0210,65.0210
GPT-2,prefill,1,32.0,32,4 MB,2.1431,32.5105,32.5105
GPT-2,prefill,1,32.0,64,4 MB,2.1431,16.2552,16.2552
GPT-2,prefill,1,32.0,128,4 MB,2.1431,8.1276,8.1276
GPT-2,prefill,1,32.0,256,4 MB,2.1431,4.0638,4.0676
GPT-2,prefill,1,32.0,512,4 MB,2.1431,2.0319,3.0227
GPT-2,prefill,1,64.0,4,4 MB,1.0715,260.0840,260.0840
GPT-2,prefill,1,64.0,8,4 MB,1.0715,130.0420,130.0420
GPT-2,prefill,1,64.0,16,4 MB,1.0715,65.0210,65.0210
GPT-2,prefill,1,64.0,32,4 MB,1.0715,32.5105,32.5105
GPT-2,prefill,1,64.0,64,4 MB,1.0715,16.2552,16.2552
GPT-2,prefill,1,64.0,128,4 MB,1.0715,8.1276,8.1276
GPT-2,prefill,1,64.0,256,4 MB,1.0715,4.0638,4.0638
GPT-2,prefill,1,64.0,512,4 MB,1.0715,2.0319,2.0338
GPT-2,decode,1,0.5,4,256 KB,0.2679,86.6766,86.6766
GPT-2,decode,1,0.5,8,256 KB,0.2679,43.3383,43.3383
GPT-2,decode,1,0.5,16,256 KB,0.2679,21.6692,21.6692
GPT-2,decode,1,0.5,32,256 KB,0.2679,10.8346,10.8346
GPT-2,decode,1,0.5,64,256 KB,0.2679,5.4173,5.4173
GPT-2,decode,1,0.5,128,256 KB,0.2679,2.7086,2.7086
GPT-2,decode,1,0.5,256,256 KB,0.2679,1.3543,1.3544
GPT-2,decode,1,0.5,512,256 KB,0.2679,0.6772,0.6777
GPT-2,decode,1,1.0,4,256 KB,0.1339,86.6766,86.6766
GPT-2,decode,1,1.0,8,256 KB,0.1339,43.3383,43.3383
GPT-2,decode,1,1.0,16,256 KB,0.1339,21.6692,21.6692
GPT-2,decode,1,1.0,32,256 KB,0.1339,10.8346,10.8346
GPT-2,decode,1,1.0,64,256 KB,0.1339,5.4173,5.4173
GPT-2,decode,1,1.0,128,256 KB,0.1339,2.7086,2.7086
GPT-2,decode,1,1.0,256,256 KB,0.1339,1.3543,1.3543
GPT-2,decode,1,1.0,512,256 KB,0.1339,0.6772,0.6772
GPT-2,decode,1,2.0,4,256 KB,0.0670,86.6766,86.6766
GPT-2,decode,1,2.0,8,256 KB,0.0670,43.3383,43.3383
GPT-2,decode,1,2.0,16,256 KB,0.0670,21.6692,21.6692
GPT-2,decode,1,2.0,32,256 KB,0.0670,10.8346,10.8346
GPT-2,decode,1,2.0,64,256 KB,0.0670,5.4173,5.4173
GPT-2,decode,1,2.0,128,256 KB,0.0670,2.7086,2.7086
GPT-2,decode,1,2.0,256,256 KB,0.0670,1.3543,1.3543
GPT-2,decode,1,2.0,512,256 KB,0.0670,0.6772,0.6772
GPT-2,decode,1,4.0,4,256 KB,0.0335,86.6766,86.6766
