model,phase,batch,point,operator,macs,bytes,intensity,compute_ms,memory_ms,latency_ms,bound
EfficientNet-B2,image,8,edge,BatchNorm2d,313416688,313619530,0.9994,0.1567,19.6012,19.6012,memory
EfficientNet-B2,image,8,edge,SiLU,140866592,281733184,0.5000,0.0704,17.6083,17.6083,memory
EfficientNet-B2,image,8,edge,AdaptiveAvgPool2d,30354304,60708608,0.5000,0.0152,3.7943,3.7943,memory
EfficientNet-B2,image,8,edge,Sigmoid,118272,473088,0.2500,0.0001,0.0296,0.0296,memory
EfficientNet-B2,image,8,edge,Dropout,0,45056,0.0000,0.0000,0.0028,0.0028,memory
EfficientNet-B2,image,8,edge,Linear,11272000,2877056,3.9179,0.0056,0.1798,0.1798,memory
EfficientNet-B2,image,8,mid,Conv2d,5260566800,337419584,15.5906,0.3288,2.6361,2.6361,memory
EfficientNet-B2,image,8,mid,BatchNorm2d,313416688,313619530,0.9994,0.0196,2.4502,2.4502,memory
EfficientNet-B2,image,8,mid,SiLU,140866592,281733184,0.5000,0.0088,2.2010,2.2010,memory
EfficientNet-B2,image,8,mid,AdaptiveAvgPool2d,30354304,60708608,0.5000,0.0019,0.4743,0.4743,memory
EfficientNet-B2,image,8,mid,Sigmoid,118272,473088,0.2500,0.0000,0.0037,0.0037,memory
EfficientNet-B2,image,8,mid,Dropout,0,45056,0.0000,0.0000,0.0004,0.0004,memory
EfficientNet-B2,image,8,mid,Linear,11272000,2854528,3.9488,0.0007,0.0223,0.0223,memory
EfficientNet-B2,image,8,high,Conv2d,5260566800,337419584,15.5906,0.0822,0.6590,0.6590,memory
EfficientNet-B2,image,8,high,BatchNorm2d,313416688,313619530,0.9994,0.0049,0.6125,0.6125,memory
EfficientNet-B2,image,8,high,SiLU,140866592,281733184,0.5000,0.0022,0.5503,0.5503,memory
EfficientNet-B2,image,8,high,AdaptiveAvgPool2d,30354304,60708608,0.5000,0.0005,0.1186,0.1186,memory
EfficientNet-B2,image,8,high,Sigmoid,118272,473088,0.2500,0.0000,0.0009,0.0009,memory
EfficientNet-B2,image,8,high,Dropout,0,45056,0.0000,0.0000,0.0001,0.0001,memory
EfficientNet-B2,image,8,high,Linear,11272000,2854528,3.9488,0.0002,0.0056,0.0056,memory
